[2023-10-07 22:05:02,144: INFO: main: Custom log]
[2023-10-08 03:39:53,925: INFO: common: yaml file: config/config.yaml loaded successfully]
[2023-10-08 03:39:53,929: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-08 03:40:23,439: INFO: common: yaml file: config/config.yaml loaded successfully]
[2023-10-08 03:40:23,441: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-08 03:40:23,442: INFO: common: created directory at: artifact]
[2023-10-08 03:40:23,444: INFO: common: created directory at: artifact/data_ingestion]
[2023-10-08 03:40:23,445: INFO: 1731476376: Downloading data from https://drive.google.com/file/d/1-3ah3hjSoptjhsfE0FHUkGHdLdGvdLkb/view?usp=sharing into file artifact/data_ingestion/data.zip]
[2023-10-08 03:40:45,945: INFO: 1731476376: Downloading data from https://drive.google.com/file/d/1-3ah3hjSoptjhsfE0FHUkGHdLdGvdLkb/view?usp=sharing into file artifact/data_ingestion/data.zip]
[2023-10-08 03:42:45,842: INFO: common: yaml file: config/config.yaml loaded successfully]
[2023-10-08 03:42:45,844: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-08 03:42:45,845: INFO: common: created directory at: artifacts]
[2023-10-08 03:42:45,846: INFO: common: created directory at: artifacts/data_ingestion]
[2023-10-08 03:42:45,847: INFO: 1731476376: Downloading data from https://drive.google.com/file/d/1-3ah3hjSoptjhsfE0FHUkGHdLdGvdLkb/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-10-08 03:43:09,582: INFO: 1731476376: Downloading data from https://drive.google.com/file/d/1-3ah3hjSoptjhsfE0FHUkGHdLdGvdLkb/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-10-08 04:01:02,142: INFO: main: >>>>>> stage Data_Ingestion_stage started <<<<<<]
[2023-10-08 04:01:02,144: INFO: common: yaml file: config/config.yaml loaded successfully]
[2023-10-08 04:01:02,145: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-08 04:01:02,145: INFO: common: created directory at: artifacts]
[2023-10-08 04:01:02,145: INFO: common: created directory at: artifacts/data_ingestion]
[2023-10-08 04:01:02,146: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1-3ah3hjSoptjhsfE0FHUkGHdLdGvdLkb/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-10-08 04:01:27,048: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1-3ah3hjSoptjhsfE0FHUkGHdLdGvdLkb/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-10-08 04:01:28,464: INFO: main: >>>>>> stage Data_Ingestion_stage started <<<<<<

x=============x]
[2023-10-08 04:02:09,929: INFO: main: >>>>>> stage Data_Ingestion_stage started <<<<<<]
[2023-10-08 04:02:09,931: INFO: common: yaml file: config/config.yaml loaded successfully]
[2023-10-08 04:02:09,932: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-08 04:02:09,933: INFO: common: created directory at: artifacts]
[2023-10-08 04:02:09,933: INFO: common: created directory at: artifacts/data_ingestion]
[2023-10-08 04:02:09,933: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1-3ah3hjSoptjhsfE0FHUkGHdLdGvdLkb/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-10-08 04:02:30,303: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1-3ah3hjSoptjhsfE0FHUkGHdLdGvdLkb/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-10-08 04:02:31,661: INFO: main: >>>>>> stage Data_Ingestion_stage completed <<<<<<

x=============x]
